gen,q_value,Log2FC,sign
PLCB2,0.0026796985222954433,1.6387492300547337,UP
REG3G,0.002677685077153445,2.6973115816614217,UP
A2M,0.0026506091027645156,1.1832488996189567,UP
CYTH4,0.0026506091027645156,1.5745009704037252,UP
CIITA,0.002521201783888546,1.109055830944554,UP
PLEK,0.002517602780799883,1.6806823621972724,UP
AC108463.3,0.002512298343155642,1.7247546982396411,UP
CARD16,0.002512298343155642,1.5300912544708025,UP
GAB3,0.002512298343155642,1.0314170661427864,UP
THBS4-AS1,0.002422574978020702,1.6029462464305533,UP
CDH5,0.0023763585163169847,1.3984375809498417,UP
CYP1B1,0.002332590944508164,2.095851911097086,UP
FOXC1,0.002129606516978488,1.5836043468629937,UP
ANTXR2,0.0020926168506893235,1.2290332507494748,UP
ITPKB,0.0020926168506893235,1.19126151754566,UP
CPNE5,0.002080648956575993,1.2474133591988397,UP
MYL9,0.0020581232866725453,1.1882984741381744,UP
ECSCR,0.002054635367466855,1.1483901944203267,UP
NID1,0.002014635141403729,1.5654906453969184,UP
DLGAP1-AS1,0.0019894417251523633,1.182053337051466,UP
IGKV3-15,0.001957974564047379,5.4463563733137965,UP
MPEG1,0.0019338076472784642,1.5629045377535364,UP
TREM2,0.0019254913410823439,2.518121952549722,UP
ITPRIP,0.001922990392535123,1.083688392162033,UP
EPHB4,0.0019101974149654413,1.2087255781573822,UP
GIMAP2,0.001904583042881663,1.4665023569789892,UP
ESAM,0.0018987617412334792,1.1948351837002702,UP
HTRA3,0.001890893928359113,1.3802397894039578,UP
CENPF,0.0018622460944482768,1.6778198094895618,UP
LPCAT2,0.0018338386585266824,1.5096925525414964,UP
CCNB2,0.0018210021915319818,1.877574260706863,UP
IKZF1,0.0018210021915319818,1.7444262122432779,UP
GPR183,0.0018210021915319818,1.0684046988403624,UP
SLC43A3,0.001815686987881002,1.0346047641688223,UP
CFH,0.0018139442765343163,1.6191212959483998,UP
SDS,0.0018088630652634016,2.5695400793217336,UP
IGLV2-23,0.0018088630652634016,4.539379662938194,UP
IFITM3,0.0017747650779009452,1.2517171952701416,UP
STING1,0.0017747650779009452,1.0713988547614248,UP
LSP1,0.0017608156763566339,1.4517345314820447,UP
GAS2L3,0.0017371705318325356,2.133519292010045,UP
CXCL2,0.001718154848406566,2.713958788344462,UP
EDN1,0.0017041303351822184,1.5093583857549342,UP
ARHGAP15,0.001688061157567983,1.397617703615814,UP
SERPING1,0.001642099657678618,1.6084380730482633,UP
RAMP3,0.0016289998021787875,1.2410253356375072,UP
IFITM2,0.0015540402435647378,1.2837859531974805,UP
TP73-AS3,0.001530525965620265,1.6490793350761235,UP
HLA-DQB1,0.0015254201432291536,1.5024645525519202,UP
PMEPA1,0.0014832894353069305,1.2576039232892013,UP
SSC5D,0.0014443398439204088,1.0560619521600938,UP
SCARA3,0.0014443398439204088,1.32359203934281,UP
HES6,0.0014416036584121799,1.2349719139735007,UP
KIRREL1,0.0014416036584121799,1.4247985817386608,UP
ITGA9,0.0014399796502114618,1.0605847447186652,UP
IL3RA,0.001428043579467014,1.0846727228640198,UP
LAMA2,0.0014249763537392652,1.1645680959397096,UP
LAMA4,0.0014249763537392652,1.0937884952997179,UP
AC092490.2,0.0014056347638060661,-1.0491716297230682,DOWN
FCGR2A,0.0013899684586346419,1.2433525575835536,UP
COL18A1,0.0013686738641420337,1.3553280773844312,UP
CSF1,0.001360923497357038,1.2114049723488856,UP
PROS1,0.001360923497357038,1.133347746868383,UP
TAFA4,0.00135213983555378,-1.3989752016228554,DOWN
LILRB4,0.0013338655682652704,2.2171486179674345,UP
KCNE4,0.0013338655682652704,1.0028705791652275,UP
HLA-DRB6,0.0012753250874212969,1.7738019356263057,UP
NR2F1,0.001258908331986091,1.2610793286342115,UP
ANO1,0.0012480744746513179,1.474956416866324,UP
GJA4,0.0012429172500616947,1.493444966428949,UP
CCL19,0.001222762137824583,3.367389974845831,UP
VSIG4,0.0012076745358126978,1.8131296258732352,UP
TBX2,0.0012076745358126978,1.6068434723675815,UP
APCDD1,0.001195181331109416,1.7265632112223495,UP
COL16A1,0.0011850049373122028,1.1748546791867638,UP
CASC15,0.0011824740329812802,1.7874108454689983,UP
SLFN13,0.001156827329700116,1.9251710136838245,UP
CD300A,0.0011471768179811418,1.9953035976519893,UP
IFI27,0.001139145464644573,1.51082095702601,UP
TOP2A,0.0011258381774039547,2.6519257100624434,UP
ZCCHC24,0.0011203860073609067,1.2054721899205394,UP
FBLN1,0.0011203860073609067,1.3515126899017555,UP
FBN1,0.0011147240613155224,1.0559067193647294,UP
NCF4,0.0010928159829601976,1.5046832166718784,UP
SLA,0.0010900605186338229,1.87066566794949,UP
RASD2,0.0010877231540414075,1.1771067707110785,UP
IGLC3,0.0010790996865942877,3.712240822584514,UP
MRC2,0.0010726141215499233,1.395521430141325,UP
BASP1,0.001071613608348449,1.5103370573095256,UP
AXL,0.0010666452971948089,1.1212183046234456,UP
SEPTIN4,0.0010666452971948089,1.0018153387917113,UP
CST2,0.0010666452971948089,1.988191464680504,UP
JAML,0.0010126143495288239,1.6767414296003564,UP
PALD1,0.0009736607420268783,1.8983057475525922,UP
PRDM1,0.0009583149160581669,1.3309180076452174,UP
IL2RG,0.0009535151769774557,2.254955718307901,UP
AEBP1,0.0009508902227850022,1.0265705558872233,UP
TRIM22,0.0009442363557599209,1.2656661180891944,UP
CTHRC1,0.0009391592724200415,1.2738616730526358,UP
IRAG1,0.0009391592724200415,1.2887822333028711,UP
TBX3,0.0009075698887717929,1.4284708185430863,UP
ZNF521,0.0008972101341022141,1.5238861981681955,UP
OLR1,0.0008905644525603776,2.643817582386083,UP
RUNX1,0.0008905644525603776,1.5963010354403389,UP
LY96,0.0008905644525603776,1.700337694403459,UP
JAM2,0.0008478279741524986,1.1403591121526868,UP
IGLV1-51,0.0008242963983312087,3.424338127553818,UP
TLK2P1,0.0008231870909883838,1.8579374583134296,UP
MILR1,0.0007515126751515429,2.1087159128280057,UP
FSTL1,0.0007155080113009157,1.069859014908883,UP
SIGLEC10,0.0006893013062595424,2.151570881919711,UP
PDGFB,0.0006893013062595424,1.0567361113194917,UP
TPBG,0.0006439759680693244,1.3211942084458594,UP
FAS,0.0006439759680693244,1.004096972106309,UP
TPSAB1,0.0006422392676912594,1.778363091781222,UP
HTR2B,0.0006113720172225632,1.2721971121818065,UP
MOXD1,0.0006109276370317664,1.655562172898256,UP
C1orf162,0.0006103286186654323,1.112658790839772,UP
CSF1R,0.0005944817847999636,1.4499129894786364,UP
CAVIN1,0.0005553171631720758,1.1150351592582044,UP
NR2F2-AS1,0.0005382350858475262,1.3690841723242042,UP
IFITM1,0.0005382350858475262,1.4052861525367597,UP
MARCKSL1,0.0005304986776607112,1.1294965756392714,UP
KLHL6,0.0004964696615646579,1.7701721813688165,UP
TNFRSF1B,0.00047881234143103086,1.4895166871374488,UP
ARHGEF6,0.0004727524146331809,1.3799833694117698,UP
GDF15,0.00046638414713632675,1.79246494281061,UP
MNDA,0.00045408987845209895,1.7456058534613372,UP
ADAM33,0.0004419685265105959,1.8139677674111871,UP
SLCO2B1,0.0004419685265105959,1.3123587640380308,UP
CD3D,0.00043676145597596703,2.324796682554686,UP
ISLR,0.00043015749139935645,1.646818623995179,UP
OR2I1P,0.0004139483237900345,3.9478592815839,UP
EPHA3,0.0004129258575588293,1.5745528673029054,UP
CCL4,0.0004127263383486678,1.9007194701806134,UP
CD84,0.0004015034589782248,1.8321248215930324,UP
LGALS9,0.0004015034589782248,1.6924613981379057,UP
HLA-DQB2,0.0004015034589782248,2.287339076857092,UP
ALPK1,0.00039746813518498907,1.2521159862515807,UP
GGT5,0.0003935634468628179,1.5421378579768874,UP
EHD2,0.00038525573864229363,1.2693726452171181,UP
GPX8,0.0003714207659765558,1.4378726247923361,UP
ZEB2,0.0003427162589995637,1.2031801699877844,UP
PPP1R18,0.00033430613382878956,1.2368720761445675,UP
AC100803.4,0.00033043122801546963,2.4784288743030918,UP
RASL12,0.00031699251420261375,1.915766071886129,UP
FCN3,0.00031572254600084897,2.237970110152852,UP
RUNX3,0.0003149981292232583,1.9143407935468069,UP
C3,0.0003011487449821959,2.230183246712451,UP
CAPG,0.0002960794896410508,1.8805508959877981,UP
SELPLG,0.00028947363702826954,2.2096946530231616,UP
MS4A7,0.0002756848542691097,1.5788466618889678,UP
GBP2,0.0002756848542691097,1.4161293373552377,UP
LAMB3,0.00026543200229362765,2.6684463207485645,UP
THY1,0.00025211792512038617,1.2766331060326874,UP
